rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,US,DNN,2020,253,2020-01-02,2020-12-31,0.2000000029802322,0.3899999856948852,0.4009090893471194,0.7200000286102295,253,1.0,0,3,3,6,15,59,0,1,1,2,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2,US,SLSN,2020,253,2020-01-02,2020-12-31,0.1700000017881393,0.4399999976158142,0.4596047419686562,0.8999999761581421,253,1.0,0,25,28,53,53,121,0,5,8,13,17,53,0,2,3,5,7,23,0,0,0,0,1,7,0,0,0,0,0,3
3,US,SVA,2020,253,2020-01-02,2020-12-31,-48.53000259399414,-48.53000259399414,-48.53000259399414,-48.53000259399414,253,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,US,CBIO,2020,253,2020-01-02,2020-12-31,-595.1000366210938,-388.3000183105469,-384.4608978150861,-201.3000030517578,253,1.0,0,0,1,1,9,44,0,0,1,1,1,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,US,UAMY,2020,253,2020-01-02,2020-12-31,0.2399999946355819,0.4000000059604645,0.4068379449867919,0.6100000143051147,253,1.0,0,4,3,7,27,118,0,0,1,1,6,28,0,0,0,0,3,13,0,0,0,0,1,3,0,0,0,0,0,1
6,US,URG,2020,253,2020-01-02,2020-12-31,0.2899999916553497,0.5299999713897705,0.5262845839436346,0.8999999761581421,253,1.0,0,1,1,2,16,47,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,US,KGEI,2020,253,2020-01-02,2020-12-31,0.2000000029802322,0.5,0.4928853801587824,0.8999999761581421,253,1.0,0,24,27,51,38,36,0,20,11,31,25,30,0,9,0,9,13,13,0,1,0,1,4,3,0,0,0,0,0,0
8,US,DTST,2020,253,2020-01-02,2020-12-31,0.1099999994039535,0.1400000005960464,0.1401185759972677,0.2000000029802322,253,1.0,0,23,21,44,38,111,0,3,2,5,11,44,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
9,US,XPL,2020,253,2020-01-02,2020-12-31,0.1500000059604644,0.3300000131130218,0.3495256910211012,0.6200000047683716,253,1.0,0,5,4,9,21,87,0,1,0,1,4,17,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,1
10,US,OBE,2020,253,2020-01-02,2020-12-31,0.1599999964237213,0.4199999868869781,0.432648221494652,0.9300000071525574,253,1.0,0,9,15,24,24,131,0,1,0,1,4,34,0,1,0,1,2,12,0,0,0,0,1,4,0,0,0,0,0,0
1,US,TII,2021,248,2021-01-08,2021-12-31,0.0013002402847632,0.6007110476493835,0.5610693753035101,0.8308535814285278,248,1.0,1,13,17,30,29,19,1,8,8,16,13,10,1,5,5,10,12,10,1,3,5,8,6,7,1,3,0,3,3,5
2,US,CBIO,2021,252,2021-01-04,2021-12-31,-464.2000427246094,-251.90000915527344,-275.2095425923665,-158.40000915527344,252,1.0,0,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,US,TRX,2021,252,2021-01-04,2021-12-31,0.3600000143051147,0.5099999904632568,0.5290476158261299,0.959999978542328,252,1.0,0,3,1,4,7,20,0,1,0,1,1,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
4,US,SVA,2021,252,2021-01-04,2021-12-31,-48.53000259399414,-48.53000259399414,-48.53000259399414,-48.53000259399414,252,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,US,TSSI,2021,252,2021-01-04,2021-12-31,0.4099999964237213,0.5899999737739563,0.6011904738252125,0.9300000071525574,252,1.0,0,1,2,3,12,36,0,0,0,0,1,8,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
6,US,DEC,2021,230,2021-01-04,2021-12-31,0.0,0.0,0.0,0.0,230,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,US,NAK,2021,252,2021-01-04,2021-12-31,0.3300000131130218,0.4799999892711639,0.5122222213281525,1.0,251,0.996031746031746,0,8,2,10,19,44,0,2,0,2,4,14,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
8,US,RGC,2021,118,2021-07-16,2021-12-31,0.1657889932394027,0.5459209978580475,0.5348956687218052,1.2192109823226929,117,0.9915254237288136,0,3,3,6,21,53,0,1,2,3,7,19,0,1,0,1,4,12,0,1,0,1,2,4,0,1,0,1,2,2
9,US,KGEI,2021,252,2021-01-04,2021-12-31,0.4000000059604645,0.699999988079071,0.6813492097315335,1.0,249,0.988095238095238,0,30,29,59,64,57,0,9,3,12,11,16,0,4,0,4,4,3,0,2,0,2,1,1,0,0,0,0,0,0
10,US,XPL,2021,252,2021-01-04,2021-12-31,0.449999988079071,0.6200000047683716,0.6557936512288594,1.2200000286102295,242,0.9603174603174603,0,1,3,4,16,46,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,US,ARQQW,2022,106,2022-08-02,2022-12-30,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.6100000143051147,106,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,US,DEC,2022,237,2022-01-03,2022-12-30,0.0,0.0,0.0,0.0,237,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,US,PDYNW,2022,106,2022-08-02,2022-12-30,0.4199999868869781,0.4199999868869781,0.4199999868869781,0.4199999868869781,106,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,US,XTNT,2022,251,2022-01-03,2022-12-30,0.4600000083446502,0.6299999952316284,0.6119920299110184,0.8799999952316284,251,1.0,0,2,1,3,9,60,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,US,IINNW,2022,251,2022-01-03,2022-12-30,0.1800000071525573,0.3000000119209289,0.3866972117666229,0.930999994277954,251,1.0,0,33,32,65,57,96,0,14,12,26,22,50,0,6,0,6,6,22,0,3,0,3,1,5,0,1,0,1,0,1
6,US,MNYWW,2022,251,2022-01-03,2022-12-30,0.1000000014901161,0.2450000047683715,0.3446414348079389,0.9800000190734864,251,1.0,0,23,27,50,54,169,0,7,12,19,14,76,0,2,2,4,3,42,0,0,0,0,0,12,0,0,0,0,0,1
7,US,NAK,2022,251,2022-01-03,2022-12-30,0.209999993443489,0.3000000119209289,0.301673307777401,0.4699999988079071,251,1.0,0,1,0,1,6,21,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,US,XPL,2022,251,2022-01-03,2022-12-30,0.4399999976158142,0.5699999928474426,0.6052988040969667,0.9300000071525574,251,1.0,0,0,1,1,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,US,NAMSW,2022,251,2022-01-03,2022-12-30,0.0599999986588954,0.5799999833106995,0.4956175302010608,0.949999988079071,251,1.0,32,33,23,56,57,87,0,23,9,32,30,62,0,16,1,17,16,43,0,3,0,3,3,25,0,0,0,0,1,2
