rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
3,10,abs_gap_ge,JP,8105.T,2025,243,2025-01-06,2025-12-30,37.0,54.0,237.20987654320987,924.0,144,0.5925925925925926,0,13,6,19,46,78,0,6,3,9,12,24,0,4,0,4,6,6,0,1,0,1,1,3,0,0,0,0,0,0
4,10,abs_gap_ge,JP,3350.T,2025,243,2025-01-06,2025-12-30,303.0,506.0,701.9670781893004,1895.0,0,0.0,0,11,7,18,44,72,0,2,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,abs_gap_ge,JP,6574.T,2025,243,2025-01-06,2025-12-30,17.799999237060547,81.19999694824219,93.16304511395992,318.5,140,0.5761316872427984,0,17,0,17,37,72,0,9,0,9,9,10,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_gap_ge,JP,4570.T,2025,243,2025-01-06,2025-12-30,378.0,492.0,651.3456790123457,3820.0,0,0.0,0,11,5,16,25,26,0,2,2,4,11,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_gap_ge,JP,3905.T,2025,243,2025-01-06,2025-12-30,603.0,1816.0,1743.6090534979423,4090.0,0,0.0,0,7,9,16,41,87,0,3,1,4,14,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
8,10,abs_gap_ge,JP,4889.T,2025,243,2025-01-06,2025-12-30,299.0,1765.0,1710.7860082304526,3140.0,0,0.0,0,12,3,15,37,78,0,2,1,3,14,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
9,10,abs_gap_ge,JP,7138.T,2025,243,2025-01-06,2025-12-30,115.0,154.0,188.74156380484624,548.0,0,0.0,0,14,0,14,31,52,0,6,0,6,13,16,0,3,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_gap_ge,JP,4316.T,2025,243,2025-01-06,2025-12-30,286.0,449.0,715.2057613168724,2081.0,0,0.0,0,13,1,14,26,60,0,3,0,3,8,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,10,abs_gap_ge,KR,012210.KQ,2025,241,2025-01-02,2025-12-30,1820.0,4110.0,5058.4315352697095,15980.0,0,0.0,0,41,11,52,34,82,0,1,0,1,1,38,0,1,0,1,1,14,0,1,0,1,1,0,0,1,0,1,1,0
2,10,abs_gap_ge,KR,042940.KQ,2025,239,2025-01-02,2025-12-30,3165.0,10680.0,11685.39748953975,46750.0,0,0.0,0,14,3,17,33,69,0,9,1,10,20,31,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0
3,10,abs_gap_ge,KR,008500.KS,2025,241,2025-01-02,2025-12-30,2040.2479248046875,2264.578369140625,2646.968261212234,6285.1240234375,0,0.0,0,8,4,12,19,29,0,7,1,8,13,13,0,1,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0
4,10,abs_gap_ge,KR,435570.KQ,2025,203,2025-03-04,2025-12-30,6510.0,13010.0,14951.921182266007,31300.0,0,0.0,0,9,3,12,26,55,0,3,1,4,10,21,0,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
5,10,abs_gap_ge,KR,448900.KQ,2025,241,2025-01-02,2025-12-30,11440.0,19080.0,22898.672199170123,66900.0,0,0.0,0,6,6,12,28,81,0,0,1,1,4,24,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
6,10,abs_gap_ge,KR,288330.KQ,2025,240,2025-01-02,2025-12-30,680.0,2185.0,2760.054166666667,8960.0,58,0.2416666666666666,0,6,5,11,31,84,0,3,5,8,16,17,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_gap_ge,KR,200230.KQ,2025,242,2025-01-02,2025-12-30,897.0,1318.3333129882812,1431.0812685627582,3800.0,30,0.1239669421487603,0,6,5,11,18,40,0,5,2,7,10,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
8,10,abs_gap_ge,KR,308100.KQ,2025,240,2025-01-02,2025-12-30,1184.0,1994.6666870117188,2480.0819478352864,7746.66650390625,0,0.0,0,7,4,11,25,74,0,4,2,6,12,27,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0
9,10,abs_gap_ge,KR,152550.KS,2025,242,2025-01-02,2025-12-30,207.0,249.0,259.53719008264466,392.0,242,1.0,0,7,3,10,8,20,0,1,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_gap_ge,KR,054180.KQ,2025,241,2025-01-02,2025-12-30,1559.2203369140625,2293.85302734375,2986.680912761768,5337.33154296875,0,0.0,0,8,2,10,21,49,0,3,1,4,9,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1,10,abs_gap_ge,TH,STOWER.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0452066111524612,0.0700000002980232,242,1.0,242,31,71,102,97,237,144,26,51,77,71,203,38,8,3,11,18,113,7,3,0,3,4,32,0,0,0,0,0,7
2,10,abs_gap_ge,TH,EVER.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0599999986588954,0.0683057849749552,0.1199999973177909,242,1.0,210,26,66,92,87,221,11,5,9,14,16,81,0,0,0,0,1,39,0,0,0,0,0,1,0,0,0,0,0,0
3,10,abs_gap_ge,TH,KC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0423553712850759,0.0700000002980232,242,1.0,242,34,56,90,92,202,157,30,33,63,63,147,83,28,5,33,34,123,13,10,0,10,7,41,0,0,0,0,1,7
4,10,abs_gap_ge,TH,EMC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.050000000745058,0.0505785119127143,0.0799999982118606,242,1.0,242,22,65,87,71,236,111,17,29,46,43,162,21,3,4,7,9,67,3,1,0,1,4,20,0,0,0,0,0,3
5,10,abs_gap_ge,TH,TGPRO.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0599999986588954,0.0620661152542129,0.0900000035762786,242,1.0,242,35,51,86,92,238,2,1,7,8,5,36,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_gap_ge,TH,NATION.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0314462802965532,0.050000000745058,242,1.0,242,47,36,83,85,231,241,47,36,83,85,231,165,44,22,66,61,222,43,16,1,17,20,107,0,0,0,0,0,8
7,10,abs_gap_ge,TH,PRIME.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0799999982118606,0.0778925617895096,0.1500000059604644,242,1.0,224,35,46,81,95,237,6,3,2,5,10,61,0,0,0,0,1,22,0,0,0,0,0,2,0,0,0,0,0,0
8,10,abs_gap_ge,TH,GEL.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0428512391888282,0.0900000035762786,242,1.0,242,24,55,79,80,229,158,18,41,59,67,191,54,11,3,14,13,120,5,2,0,2,2,42,0,0,0,0,0,9
9,10,abs_gap_ge,TH,GRAND.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0406611567086054,0.0599999986588954,242,1.0,242,27,52,79,88,221,157,25,49,74,80,210,75,14,3,17,20,116,2,2,0,2,2,23,0,0,0,0,0,3
10,10,abs_gap_ge,TH,CIG.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0362809911555002,0.0599999986588954,242,1.0,242,29,49,78,80,230,207,29,47,76,72,225,117,21,14,35,37,187,13,7,0,7,10,97,0,0,0,0,0,6
1,10,abs_gap_ge,TW,8291.TWO,2025,242,2025-01-02,2025-12-31,14.888888359069824,17.907405853271484,20.383884102844995,30.18518447875977,241,0.9958677685950412,0,4,5,9,7,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
