rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
2,20,KR,2025,288330.KQ,240,0.2416666666666666,2185.0,31,16,1,11,84
3,20,KR,2025,008500.KS,241,0.0,2264.578369140625,19,13,2,12,29
4,20,KR,2025,010770.KS,241,0.0,4446.658203125,35,13,3,6,77
5,20,KR,2025,084670.KS,241,0.0,7750.0,17,13,0,9,38
6,20,KR,2025,389140.KQ,241,0.0,10970.0,23,13,2,10,51
7,20,KR,2025,308100.KQ,240,0.0,1994.6666870117188,25,12,2,11,74
8,20,KR,2025,014970.KQ,241,0.0,6843.38671875,23,12,1,8,58
9,20,KR,2025,000650.KS,241,0.0,40050.0,14,12,1,8,26
10,20,KR,2025,069920.KQ,231,0.3376623376623376,1203.0,34,10,1,7,101
1,20,TH,2025,SDC.BK,242,1.0,0.034999999217689,86,86,34,72,242
2,20,TH,2025,NATION.BK,242,1.0,0.0299999993294477,85,85,61,83,231
3,20,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,88,80,20,79,221
4,20,TH,2025,MORE.BK,242,1.0,0.0399999991059303,88,80,56,77,239
5,20,TH,2025,CIG.BK,242,1.0,0.0399999991059303,80,72,37,78,230
6,20,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,97,71,18,102,237
7,20,TH,2025,GEL.BK,242,1.0,0.0399999991059303,80,67,13,79,229
8,20,TH,2025,WAVE.BK,242,1.0,0.0299999993294477,77,66,41,60,221
9,20,TH,2025,B.BK,242,1.0,0.0399999991059303,79,63,0,62,241
10,20,TH,2025,KC.BK,242,1.0,0.0399999991059303,92,63,34,90,202
1,20,TW,2025,6682.TWO,242,0.7231404958677686,13.924999713897703,30,9,4,0,79
2,20,TW,2025,5246.TWO,242,0.743801652892562,23.024999618530277,17,7,1,1,48
3,20,TW,2025,6820.TWO,242,0.0,98.57427215576172,22,7,2,0,73
4,20,TW,2025,7796.TWO,243,0.0,123.5,18,7,2,0,42
5,20,TW,2025,7759.TWO,204,0.0,74.80000305175781,11,6,1,0,46
6,20,TW,2025,6793.TWO,242,1.0,7.28000020980835,14,5,2,1,49
7,20,TW,2025,7419.TWO,242,1.0,10.325000286102297,11,5,1,1,45
8,20,TW,2025,6493.TWO,242,0.731404958677686,18.9618558883667,14,5,3,1,30
9,20,TW,2025,6467.TWO,243,0.0,70.9000015258789,23,5,1,0,58
10,20,TW,2025,3595.TWO,242,0.0,139.75,12,5,1,0,46
1,20,UK,2025,CHP.L,253,1.0,0.0040000001899898,49,37,20,4,180
2,20,UK,2025,SYME.L,252,1.0,0.003000000026077,33,28,14,51,125
3,20,UK,2025,MET1.L,253,0.0,4.300000190734863,68,27,15,10,206
4,20,UK,2025,CDFF.L,253,0.0,2599.732421875,27,27,27,27,0
5,20,UK,2025,VOX.L,253,1.0,0.1500000059604644,26,25,24,25,4
6,20,UK,2025,FIL.L,253,0.6324110671936759,0.1099999994039535,23,23,23,23,0
7,20,UK,2025,BMTO.L,253,0.0,15.498380661010742,24,23,22,22,3
8,20,UK,2025,SCGL.L,253,0.766798418972332,0.4749999940395355,46,22,11,17,211
9,20,UK,2025,ALRT.L,253,0.6719367588932806,0.395000010728836,55,22,6,7,184
10,20,UK,2025,HYG.L,253,0.3636363636363636,6.0,25,22,21,22,5
1,20,US,2025,PPCB,250,0.212,3.0,73,48,33,60,109
2,20,US,2025,MYSEW,250,1.0,0.2189999967813491,101,46,20,88,122
3,20,US,2025,MYPSW,250,1.0,0.0160000007599592,85,45,23,73,104
4,20,US,2025,LUCYW,250,1.0,0.0799999982118606,93,44,19,92,110
5,20,US,2025,RNWWW,250,1.0,0.1169999986886978,90,39,19,93,141
6,20,US,2025,SMX,250,0.0,1562.9713745117188,82,37,20,33,174
7,20,US,2025,AREB,250,0.0,556.0,62,34,17,25,166
8,20,US,2025,WALDW,250,1.0,0.0700000002980232,73,32,10,73,111
9,20,US,2025,CCGWW,250,1.0,0.0294999992474913,76,31,11,72,91
10,20,US,2025,HCTI,250,0.0,284.42999267578125,72,31,17,31,150
1,30,AU,2025,SFG.AX,253,1.0,0.0020000000949949,96,91,57,84,75
2,30,AU,2025,MOM.AX,253,1.0,0.0015000000130385,57,53,42,53,50
3,30,AU,2025,EDE.AX,253,1.0,0.0399999991059303,68,51,39,51,106
4,30,AU,2025,HLX.AX,253,1.0,0.0020000000949949,83,58,38,76,74
5,30,AU,2025,88E.AX,253,1.0,0.0230000000447034,43,41,38,40,82
