rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
5,10,range_ge,JP,9399.T,2025,243,2025-01-06,2025-12-30,41.900001525878906,114.5,108.7580247729894,207.5,73,0.3004115226337449,0,10,0,10,37,91,0,5,0,5,7,18,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1
6,10,range_ge,JP,6993.T,2025,243,2025-01-06,2025-12-30,19.0,34.0,41.21399176954733,188.0,235,0.9670781893004116,0,9,3,12,26,88,0,4,1,5,16,24,0,3,0,3,8,9,0,0,0,0,1,1,0,0,0,0,0,0
7,10,range_ge,JP,3905.T,2025,243,2025-01-06,2025-12-30,603.0,1816.0,1743.6090534979423,4090.0,0,0.0,0,7,9,16,41,87,0,3,1,4,14,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
8,10,range_ge,JP,6740.T,2025,243,2025-01-06,2025-12-30,14.0,19.0,18.580246913580247,30.0,243,1.0,0,2,0,2,8,81,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
9,10,range_ge,JP,9610.T,2025,243,2025-01-06,2025-12-30,59.0,125.0,136.69958847736626,303.0,78,0.3209876543209876,0,5,2,7,27,80,0,3,0,3,16,32,0,1,0,1,9,16,0,0,0,0,0,3,0,0,0,0,0,0
10,10,range_ge,JP,8105.T,2025,243,2025-01-06,2025-12-30,37.0,54.0,237.20987654320987,924.0,144,0.5925925925925926,0,13,6,19,46,78,0,6,3,9,12,24,0,4,0,4,6,6,0,1,0,1,1,3,0,0,0,0,0,0
1,10,range_ge,KR,011080.KQ,2025,242,2025-01-02,2025-12-30,599.0,975.5,1126.793388429752,2860.0,129,0.5330578512396694,0,3,2,5,32,105,0,1,0,1,9,36,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0
2,10,range_ge,KR,313760.KQ,2025,242,2025-01-02,2025-12-30,1169.0,3552.5,3633.123966942149,6970.0,0,0.0,0,2,2,4,28,104,0,2,0,2,3,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
3,10,range_ge,KR,210120.KQ,2025,228,2025-01-02,2025-12-30,1048.0,2637.5,2871.792396946957,5850.0,0,0.0,0,3,3,6,30,103,0,2,1,3,8,29,0,0,0,0,1,9,0,0,0,0,0,3,0,0,0,0,0,0
4,10,range_ge,KR,069920.KQ,2025,231,2025-01-02,2025-12-30,635.0,1203.0,1445.632034632035,3145.0,78,0.3376623376623376,0,5,2,7,34,101,0,2,0,2,10,32,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
5,10,range_ge,KR,288330.KQ,2025,240,2025-01-02,2025-12-30,680.0,2185.0,2760.054166666667,8960.0,58,0.2416666666666666,0,6,5,11,31,84,0,3,5,8,16,17,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6,10,range_ge,KR,012210.KQ,2025,241,2025-01-02,2025-12-30,1820.0,4110.0,5058.4315352697095,15980.0,0,0.0,0,41,11,52,34,82,0,1,0,1,1,38,0,1,0,1,1,14,0,1,0,1,1,0,0,1,0,1,1,0
7,10,range_ge,KR,448900.KQ,2025,241,2025-01-02,2025-12-30,11440.0,19080.0,22898.672199170123,66900.0,0,0.0,0,6,6,12,28,81,0,0,1,1,4,24,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
8,10,range_ge,KR,093240.KS,2025,241,2025-01-02,2025-12-30,1143.3016357421875,2095.0,2144.0843394425897,3635.0,0,0.0,0,1,4,5,28,80,0,0,0,0,6,26,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
9,10,range_ge,KR,083660.KQ,2025,242,2025-01-02,2025-12-30,482.0,842.5,1063.3801652892562,2770.0,155,0.640495867768595,0,0,1,1,20,78,0,0,0,0,5,21,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
10,10,range_ge,KR,192410.KQ,2025,242,2025-01-02,2025-12-30,1290.0,2707.0,2667.9256198347107,4420.0,0,0.0,0,2,2,4,25,78,0,1,1,2,7,28,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
1,10,range_ge,TH,SDC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.034999999217689,0.0356198340377285,0.050000000745058,242,1.0,242,27,45,72,86,242,226,27,45,72,86,242,121,24,0,24,34,213,1,0,0,0,1,32,0,0,0,0,0,14
2,10,range_ge,TH,B.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0399999991059303,0.0481818177668023,0.0799999982118606,242,1.0,242,27,35,62,79,241,124,21,32,53,63,197,0,0,0,0,0,53,0,0,0,0,0,23,0,0,0,0,0,0
