rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_gap_ge_10_days,abs_gap_ge_20_days,abs_gap_ge_30_days,abs_ret_ge_10_days,range_ge_10_days
5,20,UK,2025,VOX.L,253,1.0,0.1500000059604644,25,25,24,26,4
6,20,UK,2025,PRM.L,253,0.0,3.049999952316284,122,25,2,22,142
7,20,UK,2025,FIL.L,253,0.6324110671936759,0.1099999994039535,23,23,23,23,0
8,20,UK,2025,HYG.L,253,0.3636363636363636,6.0,22,22,21,25,5
9,20,UK,2025,BMTO.L,253,0.0,15.498380661010742,22,22,22,24,3
10,20,UK,2025,HSM.L,253,0.0,309.8845520019531,22,22,22,22,4
1,20,US,2025,LUCYW,250,1.0,0.0799999982118606,92,51,14,93,110
2,20,US,2025,MYSEW,250,1.0,0.2189999967813491,88,44,19,101,122
3,20,US,2025,PPCB,250,0.212,3.0,60,44,33,73,109
4,20,US,2025,MYPSW,250,1.0,0.0160000007599592,73,40,23,85,104
5,20,US,2025,WALDW,250,1.0,0.0700000002980232,73,39,9,73,111
6,20,US,2025,RNWWW,250,1.0,0.1169999986886978,93,34,11,90,141
7,20,US,2025,SEATW,250,1.0,0.1609999984502792,66,31,11,70,87
8,20,US,2025,PAPL,250,0.024,4.5,43,31,21,55,159
9,20,US,2025,NTRBW,250,0.0,1.7949999570846558,79,30,8,73,84
10,20,US,2025,CCGWW,250,1.0,0.0294999992474913,72,29,10,76,91
1,30,AU,2025,SFG.AX,253,1.0,0.0020000000949949,84,79,62,96,75
2,30,AU,2025,IOV.AX,169,1.0,0.1500000059604644,50,49,48,41,38
3,30,AU,2025,EDE.AX,253,1.0,0.0399999991059303,51,50,45,68,106
4,30,AU,2025,BP8.AX,199,1.0,0.0020000000949949,55,51,42,58,53
5,30,AU,2025,SRN.AX,253,1.0,0.0020000000949949,78,52,39,70,95
6,30,AU,2025,88E.AX,253,1.0,0.0230000000447034,40,39,39,43,82
7,30,AU,2025,MOM.AX,253,1.0,0.0015000000130385,53,49,38,57,50
8,30,AU,2025,HLX.AX,253,1.0,0.0020000000949949,76,56,37,83,74
9,30,AU,2025,ERA.AX,253,1.0,0.0024999999441206,131,67,36,113,218
10,30,AU,2025,1TT.AX,189,1.0,0.0199999995529651,61,48,36,70,52
1,30,CA,2025,MTLO.V,251,1.0,0.0099999997764825,107,106,104,82,110
