rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,10,abs_ret_ge,JP,8918.T,2025,243,2025-01-06,2025-12-30,6.0,9.0,8.412639578674066,11.0,243,1.0,242,72,34,106,77,243,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
2,10,abs_ret_ge,JP,5721.T,2025,243,2025-01-06,2025-12-30,19.0,122.0,129.35390946502056,422.0,93,0.382716049382716,0,17,5,22,57,110,0,8,0,8,21,35,0,2,0,2,8,18,0,0,0,0,1,1,0,0,0,0,1,0
3,10,abs_ret_ge,JP,2334.T,2025,243,2025-01-06,2025-12-30,46.09999847412109,236.0,270.15514384768136,968.0,88,0.3621399176954732,0,8,4,12,47,110,0,1,0,1,6,27,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
4,10,abs_ret_ge,JP,8105.T,2025,243,2025-01-06,2025-12-30,37.0,54.0,237.20987654320987,924.0,144,0.5925925925925926,0,13,6,19,46,78,0,6,3,9,12,24,0,4,0,4,6,6,0,1,0,1,1,3,0,0,0,0,0,0
5,10,abs_ret_ge,JP,3350.T,2025,243,2025-01-06,2025-12-30,303.0,506.0,701.9670781893004,1895.0,0,0.0,0,11,7,18,44,72,0,2,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_ret_ge,JP,3905.T,2025,243,2025-01-06,2025-12-30,603.0,1816.0,1743.6090534979423,4090.0,0,0.0,0,7,9,16,41,87,0,3,1,4,14,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_ret_ge,JP,3823.T,2025,243,2025-01-06,2025-12-30,28.0,77.0,82.82716049382717,181.0,162,0.6666666666666666,0,9,3,12,37,75,0,4,0,4,6,18,0,1,0,1,4,6,0,0,0,0,1,0,0,0,0,0,0,0
8,10,abs_ret_ge,JP,6574.T,2025,243,2025-01-06,2025-12-30,17.799999237060547,81.19999694824219,93.16304511395992,318.5,140,0.5761316872427984,0,17,0,17,37,72,0,9,0,9,9,10,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
9,10,abs_ret_ge,JP,9399.T,2025,243,2025-01-06,2025-12-30,41.900001525878906,114.5,108.7580247729894,207.5,73,0.3004115226337449,0,10,0,10,37,91,0,5,0,5,7,18,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1
10,10,abs_ret_ge,JP,4889.T,2025,243,2025-01-06,2025-12-30,299.0,1765.0,1710.7860082304526,3140.0,0,0.0,0,12,3,15,37,78,0,2,1,3,14,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1,10,abs_ret_ge,KR,010770.KS,2025,241,2025-01-02,2025-12-30,2379.56298828125,4446.658203125,5084.301758825532,13613.9853515625,0,0.0,0,5,1,6,35,77,0,1,1,2,13,37,0,1,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0
2,10,abs_ret_ge,KR,069920.KQ,2025,231,2025-01-02,2025-12-30,635.0,1203.0,1445.632034632035,3145.0,78,0.3376623376623376,0,5,2,7,34,101,0,2,0,2,10,32,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
3,10,abs_ret_ge,KR,012210.KQ,2025,241,2025-01-02,2025-12-30,1820.0,4110.0,5058.4315352697095,15980.0,0,0.0,0,41,11,52,34,82,0,1,0,1,1,38,0,1,0,1,1,14,0,1,0,1,1,0,0,1,0,1,1,0
4,10,abs_ret_ge,KR,042940.KQ,2025,239,2025-01-02,2025-12-30,3165.0,10680.0,11685.39748953975,46750.0,0,0.0,0,14,3,17,33,69,0,9,1,10,20,31,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0
5,10,abs_ret_ge,KR,011080.KQ,2025,242,2025-01-02,2025-12-30,599.0,975.5,1126.793388429752,2860.0,129,0.5330578512396694,0,3,2,5,32,105,0,1,0,1,9,36,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0
6,10,abs_ret_ge,KR,288330.KQ,2025,240,2025-01-02,2025-12-30,680.0,2185.0,2760.054166666667,8960.0,58,0.2416666666666666,0,6,5,11,31,84,0,3,5,8,16,17,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_ret_ge,KR,210120.KQ,2025,228,2025-01-02,2025-12-30,1048.0,2637.5,2871.792396946957,5850.0,0,0.0,0,3,3,6,30,103,0,2,1,3,8,29,0,0,0,0,1,9,0,0,0,0,0,3,0,0,0,0,0,0
8,10,abs_ret_ge,KR,093240.KS,2025,241,2025-01-02,2025-12-30,1143.3016357421875,2095.0,2144.0843394425897,3635.0,0,0.0,0,1,4,5,28,80,0,0,0,0,6,26,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
9,10,abs_ret_ge,KR,313760.KQ,2025,242,2025-01-02,2025-12-30,1169.0,3552.5,3633.123966942149,6970.0,0,0.0,0,2,2,4,28,104,0,2,0,2,3,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_ret_ge,KR,448900.KQ,2025,241,2025-01-02,2025-12-30,11440.0,19080.0,22898.672199170123,66900.0,0,0.0,0,6,6,12,28,81,0,0,1,1,4,24,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
1,10,abs_ret_ge,TH,STOWER.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0452066111524612,0.0700000002980232,242,1.0,242,31,71,102,97,237,144,26,51,77,71,203,38,8,3,11,18,113,7,3,0,3,4,32,0,0,0,0,0,7
2,10,abs_ret_ge,TH,PRIME.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0799999982118606,0.0778925617895096,0.1500000059604644,242,1.0,224,35,46,81,95,237,6,3,2,5,10,61,0,0,0,0,1,22,0,0,0,0,0,2,0,0,0,0,0,0
3,10,abs_ret_ge,TH,CHO.BK,2025,242,2025-01-02,2025-12-30,0.050000000745058,0.0799999982118606,0.1079752078233671,0.25,242,1.0,142,27,50,77,93,232,0,5,19,24,35,126,0,5,6,11,19,102,0,2,0,2,3,34,0,0,0,0,0,11
4,10,abs_ret_ge,TH,KC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0423553712850759,0.0700000002980232,242,1.0,242,34,56,90,92,202,157,30,33,63,63,147,83,28,5,33,34,123,13,10,0,10,7,41,0,0,0,0,1,7
5,10,abs_ret_ge,TH,TGPRO.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0599999986588954,0.0620661152542129,0.0900000035762786,242,1.0,242,35,51,86,92,238,2,1,7,8,5,36,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_ret_ge,TH,GTV.BK,2025,242,2025-01-02,2025-12-30,0.0299999993294477,0.0799999982118606,0.0820247933484059,0.1599999964237213,242,1.0,182,16,46,62,91,211,33,9,10,19,22,96,4,1,0,1,5,32,0,0,0,0,0,3,0,0,0,0,0,0
7,10,abs_ret_ge,TH,GRAND.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0406611567086054,0.0599999986588954,242,1.0,242,27,52,79,88,221,157,25,49,74,80,210,75,14,3,17,20,116,2,2,0,2,2,23,0,0,0,0,0,3
